2015-02-09 09:34:48.744818;1;17;1;1;107;32;8745;
2015-02-09 09:34:48.761494;1;17;1;1;107;32;8745;
2015-02-09 09:34:48.778192;1;17;1;1;107;32;8745;
2015-02-09 09:34:48.794839;1;18;1;1;107;32;8745;
2015-02-09 09:34:48.811513;17;17;1;1;121;31;8745;
2015-02-09 09:34:48.811812;17;17;1;1;121;31;8745;
2015-02-09 09:34:48.844850;17;17;1;1;121;31;8745;
2015-02-09 09:34:48.845100;23;18;1;1;121;31;8745;
2015-02-09 09:34:48.861515;23;18;1;1;121;31;8745;
2015-02-09 09:34:48.878148;22;17;1;1;114;32;8745;
2015-02-09 09:34:48.894849;22;17;1;1;114;32;8745;
2015-02-09 09:34:48.911485;22;17;1;1;114;32;8745;
2015-02-09 09:34:48.928191;1;17;1;1;114;32;8745;
2015-02-09 09:34:48.961520;1;17;1;1;114;32;8745;
2015-02-09 09:34:48.961787;1;17;1;1;122;57;8745;
2015-02-09 09:34:48.978144;1;15;1;1;122;57;8745;
2015-02-09 09:34:48.994809;1;15;1;1;122;57;8745;
2015-02-09 09:34:49.28166;1;17;1;1;122;57;8745;
2015-02-09 09:34:49.28417;1;14;1;1;63;37;8745;
2015-02-09 09:34:49.61470;1;14;1;1;63;37;8745;
2015-02-09 09:34:49.78154;1;17;1;1;63;37;8745;
2015-02-09 09:34:49.94824;26;17;1;1;63;37;8745;
2015-02-09 09:34:49.95073;26;17;1;1;63;37;8745;
2015-02-09 09:34:49.128132;25;18;1;1;84;30;8745;
2015-02-09 09:34:49.144822;1;17;1;1;84;30;8745;
2015-02-09 09:34:49.161482;1;17;1;1;84;30;8745;
2015-02-09 09:34:49.178130;22;18;1;1;84;30;8745;
2015-02-09 09:34:49.194790;23;19;1;1;103;27;8745;
2015-02-09 09:34:49.211459;23;19;1;1;103;27;8745;
2015-02-09 09:34:49.228159;22;1;1;1;103;27;8745;
2015-02-09 09:34:49.228419;22;1;1;1;103;27;8745;
2015-02-09 09:34:49.261489;21;28;1;1;103;27;8745;
2015-02-09 09:34:49.278146;21;27;1;1;118;18;8745;
2015-02-09 09:34:49.278410;21;27;1;1;118;18;8745;
2015-02-09 09:34:49.294822;14;1;1;1;118;18;8745;
2015-02-09 09:34:49.311466;19;1;1;1;118;18;8745;
2015-02-09 09:34:49.328139;19;1;1;1;118;18;8745;
2015-02-09 09:34:49.344808;16;1;28;1;103;18;8745;
2015-02-09 09:34:49.361465;13;1;1;1;103;18;8745;
2015-02-09 09:34:49.378137;13;1;1;1;103;18;8745;
2015-02-09 09:34:49.394793;13;1;1;1;103;18;8745;
2015-02-09 09:34:49.411488;1;1;27;1;114;29;8745;
2015-02-09 09:34:49.428127;1;1;27;1;114;29;8745;
2015-02-09 09:34:49.444821;1;30;1;1;114;29;8745;
2015-02-09 09:34:49.461486;1;1;1;1;114;29;8745;
2015-02-09 09:34:49.494788;1;1;1;1;114;29;8745;
2015-02-09 09:34:49.495002;1;1;1;1;68;27;8745;
2015-02-09 09:34:49.511481;1;1;1;1;68;27;8745;
2015-02-09 09:34:49.528144;1;1;1;1;68;27;8745;
2015-02-09 09:34:49.544789;17;1;1;1;68;27;8745;
2015-02-09 09:34:49.561454;1;1;1;1;116;28;8745;
2015-02-09 09:34:49.578125;1;1;1;1;116;28;8745;
2015-02-09 09:34:49.594806;1;1;1;1;116;28;8745;
